"预约单号",客户姓名,客户手机号,客户来源,预约单状态,操作备注,预约门店,预约到店时间,下单时间,服务名称,车牌号,车型,备注
RS20210218131840971JC,元芳,17682308215,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 上午,2021-02-18 01:18:41,不限定车牌服务00,浙A22233,奔驰G63,保养
RS20210218132045584JC,元芳,17682308215,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 下午,2021-02-18 01:20:46,不限定车牌服务00,浙A22333,马自达c6,保养
RS20210218141729431JC,温仪的,15128282882,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 上午,2021-02-18 02:17:29,不限定车牌服务00,,,
RS20210218142113325JC,温仪课,15238484884,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 上午,2021-02-18 02:21:13,不限定车牌服务00,,,
RS20210218143507781JC,元芳,17682308215,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 上午,2021-02-18 02:35:08,不限定车牌服务00,浙C12345,G63,
RS20210218144047074JC,元芳,17682308215,,已完成,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 上午,2021-02-18 02:40:47,不限定车牌服务00,浙C12345,G65,
RS20210218144331303JC,元芳,17512341565,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 上午,2021-02-18 02:43:31,不限定车牌服务00,浙B12345,123,123
RS20210218144845795JC,元芳,17682308215,,已取消,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 上午,2021-02-18 02:48:46,不限定车牌服务00,浙C12345,测试123,12121212
RS20210218151123091JC,元芳,14100000000,,用户已取消,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 下午,2021-02-18 03:11:23,不限定车牌服务00,,,
RS20210218174345814JC,萧同卡二预约,18755520347,,用户已取消,,支持用户预约门店,2021-02-19 下午,2021-02-18 05:43:46,不限定车牌服务00,浙A895678,特斯拉A1,预计下午4点左右的时间到店，也可能会5点中以后的时间到达门店，请周知谅解！
RS20210219165114471JC,苏云,18755520347,,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-02-19 上午,2021-02-19 04:51:14,不限定车牌服务00,,,可预约的卡券3  此单预约时门店开启了自动接单
RS20210220093644290JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-02-18 上午,2021-02-20 09:36:44,门店卡券cdc001,,,"测试过期自动关闭
cardNo: ""CARD50625a8f23de3ca9427fb22a167e701f8f43""
exchangeCode: ""P4367S1052425R00""
exchangeDate: ""2021-02-20"
RS20210205103527360JC,元阿芳,16790908787,,已关闭,测试关闭,如意永康堂凤起路店,2021-02-13 下午,2021-02-05 10:35:27,不限定车牌服务00,鲁B12345,时风,三轮拖拉机改装四轮
RS20210205103631489JC,牛大,17890909090,,已取消,,如意永康堂凤起路店,2021-02-13 下午,2021-02-05 10:36:31,不限定车牌服务00,京A12345,比亚迪,换电池
RS20210205103743180JC,09,12,,已关闭,测试关闭,如意永康堂凤起路店,2021-02-13 下午,2021-02-05 10:37:43,不限定车牌服务00,12,12,
RS20210205103801268JC,11,1,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-12 上午,2021-02-05 10:38:01,不限定车牌服务00,1,1,
RS20210205103833197JC,3,3,,已关闭,,如意永康堂凤起路店,2021-02-12 上午,2021-02-05 10:38:33,限定车牌服务00,,,
test,zhangsan,15988867861,手工添加,已关闭,预约过期，系统自动关闭,名字,2021-02-10 上午,2021-02-01 02:01:26,门店卡券cdc004,苏A88888,福克斯,预约备注
RS20210205103719850JC,李白,19087876565,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-10 下午,2021-02-05 10:37:20,不限定车牌服务00,豫A12345,蒙迪欧,
RS20210205104540467JC,123123123,12312312,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-09 下午,2021-02-05 10:45:40,不限定车牌服务00,"1213212332123	",,
RS20210205103058770JC,元芳,17688888888,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-08 下午,2021-02-05 10:30:59,不限定车牌服务00,浙c123cc,五菱宏光,换发动机，最牛的那种
RS20210205103943717JC,212,1212,,已关闭,,wenyi店9,2021-02-08 下午,2021-02-05 10:39:44,门店卡券cdc001,121,1212,
RS20210205104523473JC,123123,1231231231,,已关闭,,如意永康堂凤起路店,2021-02-08 下午,2021-02-05 10:45:23,不限定车牌服务00,,,
RS20210205104558921JC,1,1,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-08 下午,2021-02-05 10:45:59,不限定车牌服务00,,,
RS20210205102812578JC,元芳,14000000000,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-07 下午,2021-02-05 10:28:13,不限定车牌服务00,浙A12345,玛莎拉哥,加个弹射座椅
RS20210205104440103JC,111,111,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-07 下午,2021-02-05 10:44:40,不限定车牌服务00,,,
RS20210205104510238JC,12312313,12312321312,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-07 下午,2021-02-05 10:45:10,不限定车牌服务00,,,
RS20210204172315779JC,akjs,13507581170,,已取消,测试拒绝,如意永康堂凤起路店,2021-02-06 下午,2021-02-04 05:23:16,不限定车牌服务00,,,
RS20210205103004524JC,元芳,14012345678,,已关闭,,如意永康堂凤起路店,2021-02-06 上午,2021-02-05 10:30:05,不限定车牌服务00,浙B42508,五菱宏光,把车顶去掉，我要改敞篷
RS20210205103202308JC,元芳,15012345678,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-06 上午,2021-02-05 10:32:02,限定车牌服务00,湘A123456,奔驰,洗车
RS20210204170556410JC,丹阳子,15990041949,,已关闭,,如意永康堂凤起路店,2021-02-05 下午,2021-02-04 05:05:56,不限定车牌服务00,浙A269JD,奔驰233,1231234
RS20210204170924473JC,丹阳子,15990041949,,用户已取消,,如意永康堂凤起路店,2021-02-05 下午,2021-02-04 05:09:24,不限定车牌服务00,浙A269JD,奔驰234,asdfsdf
RS20210204171408081JC,丹阳子,15990041949,,已取消,,如意永康堂凤起路店,2021-02-05 下午,2021-02-04 05:14:08,不限定车牌服务00,浙A269JD,奔驰2323,14123123
